 disapprove,dislike very strongly,brush off,neglect
decry,abhor,have nothing to do with,carelessness
denounce,abominate,keep at arm's length,disrespect
deplore,allergic to,keep one's distance,indifference
dislike,anathematize,laugh off,oversight
oppose,be disgusted with,let go,coolness
reject,be hostile to,live with,delinquency
veto,be loath,make light of,disdain
blame,be reluctant,not care for,heedlessness
censure,be repelled by,pass by,inadvertence
chastise,be sick of,pass over,inattention
criticize,be sorry,pass up,inconsideration
damn,bear a grudge against,pay no attention to,laxity
deprecate,can't stand,pay no mind,laxness
detract,contemn,shrug off,scorn
disallow,curse,tune out,slight
discountenance,deprecate,slur,thoughtlessness
disesteem,deride,brush aside,unconcern
disfavor,despise,zing,disregardance
dismiss,detest,be indifferent,ignore
expostulate,disapprove,leave alone,bypass
nix,disdain,forget,condone
pan,disfavor,neglect,connive
refuse,disparage,discount,cushion
remonstrate,down on,disregard,discount
reprehend,execrate,ignore,disregard
reprobate,feel malice to,overlook,fail
reprove,have an aversion to,reject,forget
slam,have enough of,spurn,neglect
spurn,have no use for,underestimate,omit
discommend,loathe,affront,overlook
dispraise,look down on,condemn,overpass
find fault with,nauseate,depreciate,pass by
find unacceptable,not care for,despise,slight
frown on,object to,detest,turn a blind eye
look askance at,recoil from,disdain,scant
look down on,scorn,dismiss,scorn
object to,shudder at,pretermit,slight
pass on,shun,rebuff,take exception to
set aside,spit upon,spurn,turn down
take dim view of,,,
