campaigning,caution, judgment,conference
government,acumen,heed,consultation
backroom,attention,heedfulness,debate
civics,calculation,judiciousness,diplomacy
electioneering,canniness,maturity,discussion
jungle,care,observation,intervention
legislature,carefulness,perspicacity,mediation
polity,chariness,precaution,meeting
statecraft,circumspection,presence of mind,transaction
zoo,concern,providence,empire
affairs of state,considerateness,prudence,execution
domestic affairs,consideration,responsibility,executive
foreign affairs,deliberation,sagacity,governance
government policy,diplomacy,sense,guidance
hat in the ring,discernment,shrewdness,influence
internal affairs,discrimination,solicitude,jurisdiction
matters of state,foresight,tact,patronage
political science,forethought,thoughtfulness,polity
smoke-filled room,good sense,vigilance,predominance
stateship,gumption,wariness,presidency
foreign policy,bargaining,warning,regency
diplomacy,agreement,watchfulness,regimentation
foreign relations,arbitration,wisdom,regulation
international relations,colloquy,statecraft,restraint
world politics,compromise,superintendence,sovereignty
superiority,sway,powers-that-be,supremacy
supervision,Uncle Sam,the feds,political practice
dispensation,rule,government,organization
disposition,running,guidance,overseeing
distribution,strategy,handling,oversight
enforcement,superintendence,jurisdiction,performance
execution,supervision,legislation,policy
governing,surveillance,order,power
provision,,,
regulation,,,
