humidity,air,impression,spirit
temperature,ambience,local color,surroundings
altitude,aura,medium,taste
aridity,background,mood,tone
clime,character,place,circumstances
conditions,climate,property,biosphere
latitude,color,quality,context
atmospheric conditions,environment,scene,domain
characteristic weather,feel,semblance,element
meteorologic conditions,feeling,sense,encompassment
meteorological character,flavor,space,entourage
habitat,hood,jungle,locale
medium,cave,milieu,neck of the woods
neighborhood,dwelling,purlieus,scene
scenery,environment,setting,situation
status,haven,stomping ground,
surroundings,nest,terrain,territory
turf,abode,address,apartment
digs,accommodations,,berth
condo,condominium,crib,den
domicile,habitation,homestead,locality
element,haunt,house,lodging
fireside,hearth,housing,nook
flat,hole,locale,home
occupancy,site,residency,range
occupation,turf,roof,stomping ground
pad,commorancy,roost,settlement
place,home plate,seat,stamping ground
quarters,,,
